                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
    21-02-2024 22:34:41:25:33                              UI_PID                              10600
    21-02-2024 22:34:41:25:85                sent pid to watchdog                                 -
  21-02-2024 22:34:47:125:793               received watchdog pid                                 -
  21-02-2024 22:34:47:125:892                        watchdog_pid                              10616
  21-02-2024 22:34:47:126:884                 initialised ncurses                                 -
  21-02-2024 22:34:47:126:972                        initial xMax                                 53
   21-02-2024 22:34:47:127:29                        initial yMax                                203
   21-02-2024 22:34:47:127:83                           droneMaxY                                201
  21-02-2024 22:34:47:127:136                           droneMaxX                                 26
  21-02-2024 22:34:47:230:559                          user input                                 -1
  21-02-2024 22:34:47:230:673                            yMax_now                                203
  21-02-2024 22:34:47:230:716                            xMax_now                                 53
  21-02-2024 22:34:47:237:539                 Pipe_dronePositionY                                 15
  21-02-2024 22:34:47:237:663                 Pipe_dronePositionX                                 15
  21-02-2024 22:34:47:237:733          Received obstacles ycoords                                 -
  21-02-2024 22:34:47:237:787          Received obstacles xcoords                                 -
  21-02-2024 22:34:47:237:836           Drone and target coincide                                 -
  21-02-2024 22:34:47:237:883           Drone and target coincide                                 -
  21-02-2024 22:34:47:237:932           Drone and target coincide                                 -
  21-02-2024 22:34:47:237:980           Drone and target coincide                                 -
   21-02-2024 22:34:47:238:27           Drone and target coincide                                 -
   21-02-2024 22:34:47:238:75           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:122           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:169           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:219           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:267           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:315           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:362           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:409           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:457           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:504           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:552           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:599           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:646           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:695           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:743           Drone and target coincide                                 -
  21-02-2024 22:34:47:238:802                             ScaledY                              15.60
  21-02-2024 22:34:47:238:860                             ScaledX                              30.15
  21-02-2024 22:34:47:238:915                      dronePositionY                                 15
  21-02-2024 22:34:47:238:964                      dronePositionX                                 30
   21-02-2024 22:34:47:239:42                           droneMaxY                                201
   21-02-2024 22:34:47:239:92                           droneMaxX                                 26
   21-02-2024 22:34:47:241:66                      Skipped target                                 -
  21-02-2024 22:34:47:241:120                      Skipped target                                 -
  21-02-2024 22:34:47:241:168                      Skipped target                                 -
  21-02-2024 22:34:47:241:215                      Skipped target                                 -
  21-02-2024 22:34:47:241:262                      Skipped target                                 -
  21-02-2024 22:34:47:241:309                      Skipped target                                 -
  21-02-2024 22:34:47:241:356                      Skipped target                                 -
  21-02-2024 22:34:47:241:403                      Skipped target                                 -
  21-02-2024 22:34:47:241:450                      Skipped target                                 -
  21-02-2024 22:34:47:241:497                      Skipped target                                 -
  21-02-2024 22:34:47:241:545                      Skipped target                                 -
  21-02-2024 22:34:47:241:592                      Skipped target                                 -
  21-02-2024 22:34:47:241:665                      Skipped target                                 -
  21-02-2024 22:34:47:241:719                      Skipped target                                 -
  21-02-2024 22:34:47:241:767                      Skipped target                                 -
  21-02-2024 22:34:47:241:815                      Skipped target                                 -
  21-02-2024 22:34:47:241:863                      Skipped target                                 -
  21-02-2024 22:34:47:241:910                      Skipped target                                 -
  21-02-2024 22:34:47:241:958                      Skipped target                                 -
    21-02-2024 22:34:47:242:5                      Skipped target                                 -
  21-02-2024 22:34:47:243:455                         targetcount                                  0
  21-02-2024 22:34:47:243:466                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:492                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:501                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:511                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:521                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:531                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:541                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:551                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:560                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:570                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:580                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:589                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:599                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:609                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:619                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:629                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:638                    Skipped obstacle                                 -
  21-02-2024 22:34:47:243:648                    Skipped obstacle                                 -
