                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  21-02-2024 22:34:41:229:347                           Drone PID                              10636
  21-02-2024 22:34:41:229:365                sent pid to watchdog                                 -
  21-02-2024 22:34:47:125:848               received watchdog pid                                 -
  21-02-2024 22:34:47:125:987                        watchdog_pid                              10616
  21-02-2024 22:34:47:136:550                            keyvalue                                  0
  21-02-2024 22:34:47:136:633          Received obstacles ycoords                                 -
  21-02-2024 22:34:47:136:693          Received obstacles ycoords                                 -
  21-02-2024 22:34:47:136:806                           Magnitude                               0.00
  21-02-2024 22:34:47:136:867                               Angle                               0.00
  21-02-2024 22:34:47:136:922                           Magnitude                               0.00
  21-02-2024 22:34:47:136:976                               Angle                               0.00
   21-02-2024 22:34:47:137:29                           Magnitude                               0.00
   21-02-2024 22:34:47:137:83                               Angle                               0.00
  21-02-2024 22:34:47:137:136                           Magnitude                               0.00
  21-02-2024 22:34:47:137:190                               Angle                               0.00
  21-02-2024 22:34:47:137:243                           Magnitude                               0.00
  21-02-2024 22:34:47:137:297                               Angle                               0.00
  21-02-2024 22:34:47:137:353                           Magnitude                               0.00
  21-02-2024 22:34:47:137:407                               Angle                               0.00
  21-02-2024 22:34:47:137:461                           Magnitude                               0.00
  21-02-2024 22:34:47:137:514                               Angle                               0.00
  21-02-2024 22:34:47:137:567                           Magnitude                               0.00
  21-02-2024 22:34:47:137:645                               Angle                               0.00
  21-02-2024 22:34:47:137:710                           Magnitude                               0.00
  21-02-2024 22:34:47:137:769                               Angle                               0.00
  21-02-2024 22:34:47:137:822                           Magnitude                               0.00
  21-02-2024 22:34:47:137:876                               Angle                               0.00
  21-02-2024 22:34:47:137:930                           Magnitude                               0.00
  21-02-2024 22:34:47:137:984                               Angle                               0.00
   21-02-2024 22:34:47:138:38                           Magnitude                               0.00
   21-02-2024 22:34:47:138:92                               Angle                               0.00
  21-02-2024 22:34:47:138:145                           Magnitude                               0.00
  21-02-2024 22:34:47:138:199                               Angle                               0.00
  21-02-2024 22:34:47:138:253                           Magnitude                               0.00
  21-02-2024 22:34:47:138:307                               Angle                               0.00
  21-02-2024 22:34:47:138:360                           Magnitude                               0.00
  21-02-2024 22:34:47:138:413                               Angle                               0.00
  21-02-2024 22:34:47:138:466                           Magnitude                               0.00
  21-02-2024 22:34:47:138:519                               Angle                               0.00
  21-02-2024 22:34:47:138:573                           Magnitude                               0.00
  21-02-2024 22:34:47:138:656                               Angle                               0.00
  21-02-2024 22:34:47:138:711                           Magnitude                               0.00
  21-02-2024 22:34:47:138:764                               Angle                               0.00
  21-02-2024 22:34:47:138:817                           Magnitude                               0.00
  21-02-2024 22:34:47:138:871                               Angle                               0.00
  21-02-2024 22:34:47:138:926                           Magnitude                               0.00
  21-02-2024 22:34:47:138:979                               Angle                               0.00
   21-02-2024 22:34:47:139:48                           Magnitude                               0.00
   21-02-2024 22:34:47:139:97                               Angle                               0.00
  21-02-2024 22:34:47:139:145                           Magnitude                               0.00
  21-02-2024 22:34:47:139:193                               Angle                               0.00
  21-02-2024 22:34:47:139:241                           Magnitude                               0.00
  21-02-2024 22:34:47:139:288                               Angle                               0.00
