                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
   13-02-2024 03:27:57:426:28                       Obstacles PID                              26872
   13-02-2024 03:27:57:426:51                sent pid to watchdog                                 -
  13-02-2024 03:28:03:268:124               received watchdog pid                                 -
  13-02-2024 03:28:03:268:155                        watchdog_pid                              26856
  13-02-2024 03:28:03:268:181                       Opened socket                                 -
  13-02-2024 03:28:03:268:255                 Connected to server                                 -
  13-02-2024 03:28:03:268:278                          ID message                                 OI
  13-02-2024 03:28:03:268:308                     Sent ID message                                 -
  13-02-2024 03:28:03:386:272                  Error: Socket read           Connection reset by peer
  13-02-2024 03:28:03:386:306                    Read window size                                 -
  13-02-2024 03:28:03:386:328                         Window size                                   
