                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
    21-02-2024 17:35:34:807:2                       Opened socket                                 -
   21-02-2024 17:35:34:807:48           Server binding successful                                 -
   21-02-2024 17:35:34:807:72            Server listen successful                                 -
  21-02-2024 17:35:34:807:100                sent pid to watchdog                                 -
  21-02-2024 17:35:40:855:348               received watchdog pid                                 -
  21-02-2024 17:35:40:855:462                        watchdog_pid                              81134
  21-02-2024 17:35:40:865:681                     keypressedValue                                  0
  21-02-2024 17:35:40:865:778                      dronePositionY                                 15
  21-02-2024 17:35:40:865:844                      dronePositionX                                 15
  21-02-2024 17:35:40:966:435            Server performed 1 cycle                                 -
  21-02-2024 17:35:40:966:578                     keypressedValue                                 -1
  21-02-2024 17:35:40:966:640                      dronePositionY                                 15
  21-02-2024 17:35:40:966:697                      dronePositionX                                 15
   21-02-2024 17:35:41:67:252            Server performed 1 cycle                                 -
   21-02-2024 17:35:41:67:407                     keypressedValue                                 -1
   21-02-2024 17:35:41:67:476                      dronePositionY                                 15
   21-02-2024 17:35:41:67:540                      dronePositionX                                 15
  21-02-2024 17:35:41:167:866            Server performed 1 cycle                                 -
   21-02-2024 17:35:41:172:40                     keypressedValue                                 -1
  21-02-2024 17:35:41:172:154                      dronePositionY                                 15
  21-02-2024 17:35:41:172:221                      dronePositionX                                 15
  21-02-2024 17:35:41:272:493            Server performed 1 cycle                                 -
  21-02-2024 17:35:41:272:635                     keypressedValue                                 -1
  21-02-2024 17:35:41:272:699                      dronePositionY                                 15
  21-02-2024 17:35:41:272:756                      dronePositionX                                 15
   21-02-2024 17:35:41:373:39            Server performed 1 cycle                                 -
  21-02-2024 17:35:41:373:193                     keypressedValue                                 -1
  21-02-2024 17:35:41:373:262                      dronePositionY                                 15
  21-02-2024 17:35:41:373:326                      dronePositionX                                 15
  21-02-2024 17:35:41:473:903            Server performed 1 cycle                                 -
   21-02-2024 17:35:41:474:59                     keypressedValue                                 -1
  21-02-2024 17:35:41:474:128                      dronePositionY                                 15
  21-02-2024 17:35:41:474:192                      dronePositionX                                 15
  21-02-2024 17:35:41:574:789            Server performed 1 cycle                                 -
  21-02-2024 17:35:41:574:931                     keypressedValue                                 -1
  21-02-2024 17:35:41:574:993                      dronePositionY                                 15
   21-02-2024 17:35:41:575:50                      dronePositionX                                 15
  21-02-2024 17:35:41:675:557            Server performed 1 cycle                                 -
  21-02-2024 17:35:41:675:704                     keypressedValue                                 -1
  21-02-2024 17:35:41:675:767                      dronePositionY                                 15
  21-02-2024 17:35:41:675:906                      dronePositionX                                 15
  21-02-2024 17:35:41:776:157            Server performed 1 cycle                                 -
  21-02-2024 17:35:41:776:300                     keypressedValue                                 -1
  21-02-2024 17:35:41:776:362                      dronePositionY                                 15
  21-02-2024 17:35:41:776:419                      dronePositionX                                 15
  21-02-2024 17:35:41:855:789                                  Hi                                 -
  21-02-2024 17:35:41:876:955            Server performed 1 cycle                                 -
  21-02-2024 17:35:41:877:254                     keypressedValue                                 -1
  21-02-2024 17:35:41:877:316                      dronePositionY                                 15
  21-02-2024 17:35:41:877:374                      dronePositionX                                 15
  21-02-2024 17:35:41:977:589            Server performed 1 cycle                                 -
  21-02-2024 17:35:41:977:726                     keypressedValue                                 -1
  21-02-2024 17:35:41:977:793                      dronePositionY                                 15
  21-02-2024 17:35:41:977:856                      dronePositionX                                 15
   21-02-2024 17:35:42:78:306            Server performed 1 cycle                                 -
    21-02-2024 17:35:42:82:55                     keypressedValue                                 -1
   21-02-2024 17:35:42:82:169                      dronePositionY                                 15
   21-02-2024 17:35:42:82:238                      dronePositionX                                 15
   21-02-2024 17:35:42:158:77                                  Hi                                 -
  21-02-2024 17:35:42:182:688            Server performed 1 cycle                                 -
  21-02-2024 17:35:42:182:818                     keypressedValue                                 -1
  21-02-2024 17:35:42:182:886                      dronePositionY                                 15
  21-02-2024 17:35:42:182:948                      dronePositionX                                 15
  21-02-2024 17:35:42:283:640            Server performed 1 cycle                                 -
  21-02-2024 17:35:42:283:802                     keypressedValue                                 -1
  21-02-2024 17:35:42:283:906                      dronePositionY                                 15
  21-02-2024 17:35:42:283:977                      dronePositionX                                 15
  21-02-2024 17:35:42:360:390                                  Hi                                 -
  21-02-2024 17:35:42:396:740            Server performed 1 cycle                                 -
  21-02-2024 17:35:42:396:891                     keypressedValue                                 -1
  21-02-2024 17:35:42:396:953                      dronePositionY                                 15
   21-02-2024 17:35:42:397:11                      dronePositionX                                 15
  21-02-2024 17:35:42:497:550            Server performed 1 cycle                                 -
  21-02-2024 17:35:42:500:287                     keypressedValue                                 -1
  21-02-2024 17:35:42:500:404                      dronePositionY                                 15
  21-02-2024 17:35:42:500:472                      dronePositionX                                 15
  21-02-2024 17:35:42:574:901                                  Hi                                 -
  21-02-2024 17:35:42:601:268            Server performed 1 cycle                                 -
  21-02-2024 17:35:42:601:401                     keypressedValue                                 -1
  21-02-2024 17:35:42:601:468                      dronePositionY                                 15
  21-02-2024 17:35:42:601:648                      dronePositionX                                 15
  21-02-2024 17:35:42:702:230            Server performed 1 cycle                                 -
  21-02-2024 17:35:42:702:389                     keypressedValue                                 -1
  21-02-2024 17:35:42:702:458                      dronePositionY                                 15
  21-02-2024 17:35:42:702:521                      dronePositionX                                 15
  21-02-2024 17:35:42:777:194                                  Hi                                 -
   21-02-2024 17:35:42:803:41            Server performed 1 cycle                                 -
  21-02-2024 17:35:42:803:186                     keypressedValue                                 -1
  21-02-2024 17:35:42:803:248                      dronePositionY                                 15
  21-02-2024 17:35:42:803:306                      dronePositionX                                 15
  21-02-2024 17:35:42:903:929            Server performed 1 cycle                                 -
   21-02-2024 17:35:42:904:72                     keypressedValue                                 -1
  21-02-2024 17:35:42:904:134                      dronePositionY                                 15
  21-02-2024 17:35:42:904:192                      dronePositionX                                 15
  21-02-2024 17:35:42:979:557                                  Hi                                 -
    21-02-2024 17:35:43:4:665            Server performed 1 cycle                                 -
    21-02-2024 17:35:43:4:792                     keypressedValue                                 -1
    21-02-2024 17:35:43:4:854                      dronePositionY                                 15
    21-02-2024 17:35:43:4:911                      dronePositionX                                 15
  21-02-2024 17:35:43:105:441            Server performed 1 cycle                                 -
  21-02-2024 17:35:43:105:597                     keypressedValue                                 -1
  21-02-2024 17:35:43:105:667                      dronePositionY                                 15
  21-02-2024 17:35:43:105:731                      dronePositionX                                 15
  21-02-2024 17:35:43:181:763                                  Hi                                 -
  21-02-2024 17:35:43:206:175            Server performed 1 cycle                                 -
  21-02-2024 17:35:43:206:307                     keypressedValue                                 -1
  21-02-2024 17:35:43:206:374                      dronePositionY                                 15
  21-02-2024 17:35:43:206:438                      dronePositionX                                 15
  21-02-2024 17:35:43:307:152            Server performed 1 cycle                                 -
  21-02-2024 17:35:43:307:308                     keypressedValue                                 -1
  21-02-2024 17:35:43:307:377                      dronePositionY                                 15
  21-02-2024 17:35:43:307:442                      dronePositionX                                 15
  21-02-2024 17:35:43:383:691                                  Hi                                 -
  21-02-2024 17:35:43:408:328            Server performed 1 cycle                                 -
  21-02-2024 17:35:43:408:449                New client available                                 -
  21-02-2024 17:35:43:408:539                 Accepted new client                                 -
  21-02-2024 17:35:43:408:615                     Read ID message                                 -
  21-02-2024 17:35:43:408:761            Echoed target ID message                                 -
  21-02-2024 17:35:43:408:825                     Added target fd                                 -
  21-02-2024 17:35:43:408:939                    Sent window size                                 -
    21-02-2024 17:35:43:409:2                                  fd                                 50
  21-02-2024 17:35:43:409:283                      Read size echo                                 -
  21-02-2024 17:35:43:409:395                           Size echo                     25.000,100.000
  21-02-2024 17:35:43:409:479                     keypressedValue                                 -1
  21-02-2024 17:35:43:409:540                      dronePositionY                                 15
  21-02-2024 17:35:43:409:597                      dronePositionX                                 15
  21-02-2024 17:35:43:510:180            Server performed 1 cycle                                 -
  21-02-2024 17:35:43:510:305                New client available                                 -
  21-02-2024 17:35:43:510:395                 Accepted new client                                 -
  21-02-2024 17:35:43:510:470                     Read ID message                                 -
  21-02-2024 17:35:43:510:627            Echoed target ID message                                 -
  21-02-2024 17:35:43:510:812                    Sent window size                                 -
  21-02-2024 17:35:43:510:917                                  fd                                 51
  21-02-2024 17:35:43:511:159                      Read size echo                                 -
  21-02-2024 17:35:43:511:259                           Size echo                     25.000,100.000
  21-02-2024 17:35:43:511:403                     Read target pos                                 -
  21-02-2024 17:35:43:511:559                   Echoed target pos                                 -
  21-02-2024 17:35:43:511:666                         targetcount                                 15
  21-02-2024 17:35:43:511:763                              format                       5.000,63.000
  21-02-2024 17:35:43:511:900                              format                      22.000,50.000
  21-02-2024 17:35:43:511:981                              format                        8.000,2.000
   21-02-2024 17:35:43:512:40                              format                      14.000,32.000
   21-02-2024 17:35:43:512:98                              format                      11.000,33.000
  21-02-2024 17:35:43:512:155                              format                       6.000,63.000
  21-02-2024 17:35:43:512:211                              format                      24.000,22.000
  21-02-2024 17:35:43:512:268                              format                      10.000,31.000
  21-02-2024 17:35:43:512:327                              format                      11.000,46.000
  21-02-2024 17:35:43:512:384                              format                       5.000,81.000
  21-02-2024 17:35:43:512:441                              format                      18.000,62.000
  21-02-2024 17:35:43:512:497                              format                       4.000,65.000
  21-02-2024 17:35:43:512:554                              format                      20.000,12.000
  21-02-2024 17:35:43:512:610                              format                       9.000,70.000
  21-02-2024 17:35:43:512:667                              format                      20.000,14.000
  21-02-2024 17:35:43:512:723                        targets_YPos                                 63
  21-02-2024 17:35:43:512:779                        targets_YPos                                 50
  21-02-2024 17:35:43:512:833                        targets_YPos                                  2
  21-02-2024 17:35:43:512:888                        targets_YPos                                 32
  21-02-2024 17:35:43:512:943                        targets_YPos                                 33
  21-02-2024 17:35:43:512:997                        targets_YPos                                 63
   21-02-2024 17:35:43:513:51                        targets_YPos                                 22
  21-02-2024 17:35:43:513:105                        targets_YPos                                 31
  21-02-2024 17:35:43:513:160                        targets_YPos                                 46
  21-02-2024 17:35:43:513:241                        targets_YPos                                 81
  21-02-2024 17:35:43:513:296                        targets_YPos                                 62
  21-02-2024 17:35:43:513:350                        targets_YPos                                 65
  21-02-2024 17:35:43:513:404                        targets_YPos                                 12
  21-02-2024 17:35:43:513:459                        targets_YPos                                 70
  21-02-2024 17:35:43:513:513                        targets_YPos                                 14
  21-02-2024 17:35:43:513:567                        targets_YPos                                  0
  21-02-2024 17:35:43:513:621                        targets_YPos                                  0
  21-02-2024 17:35:43:513:676                        targets_YPos                                  0
  21-02-2024 17:35:43:513:730                        targets_YPos                                  0
  21-02-2024 17:35:43:513:784                        targets_YPos                                  0
  21-02-2024 17:35:43:513:840             Finished target ycoords                                 -
  21-02-2024 17:35:43:513:895                        targets_XPos                                  5
  21-02-2024 17:35:43:513:950                        targets_XPos                                 22
    21-02-2024 17:35:43:514:4                        targets_XPos                                  8
   21-02-2024 17:35:43:514:59                        targets_XPos                                 14
  21-02-2024 17:35:43:514:113                        targets_XPos                                 11
  21-02-2024 17:35:43:514:167                        targets_XPos                                  6
  21-02-2024 17:35:43:514:221                        targets_XPos                                 24
  21-02-2024 17:35:43:514:274                        targets_XPos                                 10
  21-02-2024 17:35:43:514:328                        targets_XPos                                 11
  21-02-2024 17:35:43:514:382                        targets_XPos                                  5
  21-02-2024 17:35:43:514:437                        targets_XPos                                 18
  21-02-2024 17:35:43:514:490                        targets_XPos                                  4
  21-02-2024 17:35:43:514:544                        targets_XPos                                 20
  21-02-2024 17:35:43:514:598                        targets_XPos                                  9
  21-02-2024 17:35:43:514:652                        targets_XPos                                 20
  21-02-2024 17:35:43:514:707                        targets_XPos                                  0
  21-02-2024 17:35:43:514:762                        targets_XPos                                  0
  21-02-2024 17:35:43:514:816                        targets_XPos                                  0
  21-02-2024 17:35:43:514:871                        targets_XPos                                  0
  21-02-2024 17:35:43:514:925                        targets_XPos                                  0
  21-02-2024 17:35:43:514:980             Finished target xcoords                                 -
   21-02-2024 17:35:43:515:65                     keypressedValue                                 -1
  21-02-2024 17:35:43:515:122                      dronePositionY                                 15
  21-02-2024 17:35:43:515:177                      dronePositionX                                 15
  21-02-2024 17:35:43:585:261                                  Hi                                 -
  21-02-2024 17:35:43:615:602            Server performed 1 cycle                                 -
  21-02-2024 17:35:43:615:738                   Read obstacle pos                                 -
  21-02-2024 17:35:43:615:912                 Echoed obstacle pos                                 -
   21-02-2024 17:35:43:616:29                         targetcount                                  8
  21-02-2024 17:35:43:616:135                              format                      11.000,82.000
  21-02-2024 17:35:43:616:208                              format                       4.000,87.000
  21-02-2024 17:35:43:616:274                              format                       14.000,4.000
  21-02-2024 17:35:43:616:339                              format                       3.000,16.000
  21-02-2024 17:35:43:616:404                              format                       9.000,93.000
  21-02-2024 17:35:43:616:468                              format                      21.000,40.000
  21-02-2024 17:35:43:616:533                              format                      19.000,76.000
  21-02-2024 17:35:43:616:597                              format                       9.000,50.000
  21-02-2024 17:35:43:616:662                      obstacles_YPos                                 82
  21-02-2024 17:35:43:616:724                      obstacles_YPos                                 87
  21-02-2024 17:35:43:616:785                      obstacles_YPos                                  4
  21-02-2024 17:35:43:616:847                      obstacles_YPos                                 16
  21-02-2024 17:35:43:616:908                      obstacles_YPos                                 93
  21-02-2024 17:35:43:616:968                      obstacles_YPos                                 40
   21-02-2024 17:35:43:617:29                      obstacles_YPos                                 76
   21-02-2024 17:35:43:617:90                      obstacles_YPos                                 50
  21-02-2024 17:35:43:617:150                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:211                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:273                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:333                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:394                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:455                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:518                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:579                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:640                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:700                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:761                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:822                      obstacles_YPos                                  0
  21-02-2024 17:35:43:617:883          Finished obstacles ycoords                                 -
  21-02-2024 17:35:43:617:943                      obstacles_XPos                                 11
    21-02-2024 17:35:43:618:4                      obstacles_XPos                                  4
   21-02-2024 17:35:43:618:65                      obstacles_XPos                                 14
  21-02-2024 17:35:43:618:126                      obstacles_XPos                                  3
  21-02-2024 17:35:43:618:187                      obstacles_XPos                                  9
  21-02-2024 17:35:43:618:250                      obstacles_XPos                                 21
  21-02-2024 17:35:43:618:310                      obstacles_XPos                                 19
  21-02-2024 17:35:43:618:371                      obstacles_XPos                                  9
  21-02-2024 17:35:43:618:432                      obstacles_XPos                                  0
  21-02-2024 17:35:43:618:492                      obstacles_XPos                                  0
  21-02-2024 17:35:43:618:553                      obstacles_XPos                                  0
  21-02-2024 17:35:43:618:638                      obstacles_XPos                                  0
  21-02-2024 17:35:43:618:705                      obstacles_XPos                                  0
  21-02-2024 17:35:43:618:760                      obstacles_XPos                                  0
  21-02-2024 17:35:43:618:815                      obstacles_XPos                                  0
  21-02-2024 17:35:43:618:870                      obstacles_XPos                                  0
   21-02-2024 17:35:43:619:58                      obstacles_XPos                                  0
  21-02-2024 17:35:43:619:117                      obstacles_XPos                                  0
  21-02-2024 17:35:43:619:172                      obstacles_XPos                                  0
  21-02-2024 17:35:43:619:227                      obstacles_XPos                                  0
  21-02-2024 17:35:43:619:282          Finished obstacles xcoords                                 -
  21-02-2024 17:35:43:619:358                     keypressedValue                                 -1
  21-02-2024 17:35:43:619:415                      dronePositionY                                 15
  21-02-2024 17:35:43:619:471                      dronePositionX                                 15
  21-02-2024 17:35:43:720:223            Server performed 1 cycle                                 -
