                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  21-02-2024 17:35:40:854:878                          server pid                              81118
   21-02-2024 17:35:40:855:43                              UI pid                              81136
  21-02-2024 17:35:40:855:139                           drone pid                              81138
  21-02-2024 17:35:40:855:268                        watchdog pid                              81134
  21-02-2024 17:35:40:855:360      sent watchdog pid to processes                                 -
  21-02-2024 17:35:41:855:617                         current pid                              81118
  21-02-2024 17:35:41:855:742               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:41:956:657        received response from 81118                                 -
  21-02-2024 17:35:41:956:792                         current pid                              81136
  21-02-2024 17:35:41:956:907               sent SIGUSR1 to 81136                                 -
   21-02-2024 17:35:42:57:208        received response from 81136                                 -
   21-02-2024 17:35:42:57:325                         current pid                              81138
   21-02-2024 17:35:42:57:429               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:42:157:725        received response from 81138                                 -
  21-02-2024 17:35:42:157:855                         current pid                              81118
  21-02-2024 17:35:42:157:972               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:42:158:257        received response from 81118                                 -
  21-02-2024 17:35:42:158:351                         current pid                              81136
  21-02-2024 17:35:42:158:459               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:42:258:964        received response from 81136                                 -
   21-02-2024 17:35:42:259:92                         current pid                              81138
  21-02-2024 17:35:42:259:209               sent SIGUSR1 to 81138                                 -
    21-02-2024 17:35:42:360:2        received response from 81138                                 -
  21-02-2024 17:35:42:360:136                         current pid                              81118
  21-02-2024 17:35:42:360:270               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:42:372:836        received response from 81118                                 -
  21-02-2024 17:35:42:372:950                         current pid                              81136
   21-02-2024 17:35:42:373:61               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:42:473:717        received response from 81136                                 -
  21-02-2024 17:35:42:473:835                         current pid                              81138
  21-02-2024 17:35:42:473:941               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:42:574:546        received response from 81138                                 -
  21-02-2024 17:35:42:574:678                         current pid                              81118
  21-02-2024 17:35:42:574:793               sent SIGUSR1 to 81118                                 -
   21-02-2024 17:35:42:575:80        received response from 81118                                 -
  21-02-2024 17:35:42:575:175                         current pid                              81136
  21-02-2024 17:35:42:575:285               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:42:675:950        received response from 81136                                 -
   21-02-2024 17:35:42:676:79                         current pid                              81138
  21-02-2024 17:35:42:676:196               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:42:776:843        received response from 81138                                 -
  21-02-2024 17:35:42:776:975                         current pid                              81118
   21-02-2024 17:35:42:777:91               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:42:777:358        received response from 81118                                 -
  21-02-2024 17:35:42:777:449                         current pid                              81136
  21-02-2024 17:35:42:777:561               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:42:878:149        received response from 81136                                 -
  21-02-2024 17:35:42:878:265                         current pid                              81138
  21-02-2024 17:35:42:878:370               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:42:979:226        received response from 81138                                 -
  21-02-2024 17:35:42:979:347                         current pid                              81118
  21-02-2024 17:35:42:979:452               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:42:979:719        received response from 81118                                 -
  21-02-2024 17:35:42:979:806                         current pid                              81136
  21-02-2024 17:35:42:979:955               sent SIGUSR1 to 81136                                 -
   21-02-2024 17:35:43:80:365        received response from 81136                                 -
   21-02-2024 17:35:43:80:495                         current pid                              81138
   21-02-2024 17:35:43:80:611               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:43:181:416        received response from 81138                                 -
  21-02-2024 17:35:43:181:543                         current pid                              81118
  21-02-2024 17:35:43:181:657               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:43:181:925        received response from 81118                                 -
   21-02-2024 17:35:43:182:16                         current pid                              81136
  21-02-2024 17:35:43:182:125               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:43:282:659        received response from 81136                                 -
  21-02-2024 17:35:43:282:779                         current pid                              81138
  21-02-2024 17:35:43:282:883               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:43:383:358        received response from 81138                                 -
  21-02-2024 17:35:43:383:471                         current pid                              81118
  21-02-2024 17:35:43:383:556               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:43:383:869        received response from 81118                                 -
  21-02-2024 17:35:43:383:948                         current pid                              81136
   21-02-2024 17:35:43:384:21               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:43:484:300        received response from 81136                                 -
  21-02-2024 17:35:43:484:420                         current pid                              81138
  21-02-2024 17:35:43:484:504               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:43:584:932        received response from 81138                                 -
   21-02-2024 17:35:43:585:46                         current pid                              81118
  21-02-2024 17:35:43:585:130               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:43:585:495        received response from 81118                                 -
  21-02-2024 17:35:43:585:587                         current pid                              81136
  21-02-2024 17:35:43:585:695               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:43:686:152        received response from 81136                                 -
  21-02-2024 17:35:43:686:263                         current pid                              81138
  21-02-2024 17:35:43:686:348               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:43:786:770        received response from 81138                                 -
  21-02-2024 17:35:43:786:880                         current pid                              81118
  21-02-2024 17:35:43:786:966               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:43:787:329        received response from 81118                                 -
  21-02-2024 17:35:43:787:421                         current pid                              81136
  21-02-2024 17:35:43:787:502               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:43:887:864        received response from 81136                                 -
  21-02-2024 17:35:43:887:978                         current pid                              81138
   21-02-2024 17:35:43:888:63               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:43:988:323        received response from 81138                                 -
  21-02-2024 17:35:43:988:424                         current pid                              81118
  21-02-2024 17:35:43:988:498               sent SIGUSR1 to 81118                                 -
   21-02-2024 17:35:44:88:880        received response from 81118                                 -
   21-02-2024 17:35:44:88:996                         current pid                              81136
   21-02-2024 17:35:44:89:101               sent SIGUSR1 to 81136                                 -
  21-02-2024 17:35:44:189:637        received response from 81136                                 -
  21-02-2024 17:35:44:189:766                         current pid                              81138
  21-02-2024 17:35:44:189:881               sent SIGUSR1 to 81138                                 -
  21-02-2024 17:35:44:290:596        received response from 81138                                 -
  21-02-2024 17:35:44:290:720                         current pid                              81118
  21-02-2024 17:35:44:290:806               sent SIGUSR1 to 81118                                 -
  21-02-2024 17:35:44:291:179        received response from 81118                                 -
